step,train_loss,train_acc,dev_loss,dev_acc
0,2.245154619216919,0.1555,2.2955007553100586,0.15028571428571427
100,0.7876180410385132,0.75675,0.7398161292076111,0.7597142857142857
200,0.6019889116287231,0.7865,0.594882071018219,0.7937142857142857
300,0.4633505642414093,0.8325,0.5261212587356567,0.8124285714285714
400,0.5587903261184692,0.815,0.4973077178001404,0.825
500,0.42482060194015503,0.834,0.4786396026611328,0.8321428571428572
600,0.5815514922142029,0.8285,0.4620589017868042,0.8365714285714285
700,0.48451554775238037,0.844,0.443976491689682,0.8445714285714285
800,0.36592987179756165,0.84825,0.434420108795166,0.8514285714285714
900,0.37193840742111206,0.8485,0.4216022193431854,0.8528571428571429
1000,0.35968726873397827,0.85675,0.42026498913764954,0.8518571428571429
1100,0.24647998809814453,0.86,0.41117793321609497,0.8581428571428571
1200,0.5091210007667542,0.85975,0.40858256816864014,0.8595714285714285
1300,0.36865073442459106,0.86775,0.4079245328903198,0.8615714285714285
1400,0.3001556992530823,0.85375,0.41456079483032227,0.8525714285714285
1500,0.31054309010505676,0.866,0.39703166484832764,0.8647142857142858
1600,0.345989465713501,0.8595,0.39389529824256897,0.8607142857142858
1700,0.3963187038898468,0.87125,0.38398852944374084,0.8687142857142857
1800,0.3391810655593872,0.87225,0.38198065757751465,0.8708571428571429
1900,0.34751632809638977,0.87125,0.38548335433006287,0.869
2000,0.3432404696941376,0.86875,0.37784096598625183,0.868
2100,0.31990674138069153,0.867,0.38207000494003296,0.8642857142857143
2200,0.43977275490760803,0.8685,0.37752044200897217,0.8682857142857143
2300,0.4383188486099243,0.875,0.3763766884803772,0.8715714285714286
2400,0.20095600187778473,0.86925,0.37314239144325256,0.8701428571428571
2500,0.2917059659957886,0.87825,0.37496811151504517,0.8705714285714286
2600,0.2428138554096222,0.8745,0.3687901496887207,0.871
2700,0.2696850895881653,0.87525,0.36678409576416016,0.8747142857142857
2800,0.33868342638015747,0.876,0.37033239006996155,0.8715714285714286
2900,0.28466689586639404,0.86675,0.37715548276901245,0.8647142857142858
3000,0.23332275450229645,0.88425,0.3654049038887024,0.8722857142857143
3100,0.38735225796699524,0.87125,0.3666965663433075,0.8727142857142857
3200,0.34646424651145935,0.8715,0.3677269518375397,0.8717142857142857
3300,0.44127118587493896,0.88625,0.36442673206329346,0.8732857142857143
3400,0.3168042302131653,0.8745,0.3630560040473938,0.8742857142857143
