step,train_loss,train_acc,dev_loss,dev_acc
0,2.5275659561157227,0.13025,2.440714120864868,0.1327142857142857
100,0.7663712501525879,0.75825,0.7242928147315979,0.7655714285714286
200,0.5085645914077759,0.80275,0.5634811520576477,0.8072857142857143
300,0.5072963237762451,0.81975,0.49502527713775635,0.8314285714285714
400,0.3972146213054657,0.8375,0.4630213677883148,0.842
500,0.34088560938835144,0.8505,0.43852612376213074,0.8487142857142858
600,0.42293956875801086,0.859,0.4238015413284302,0.8528571428571429
700,0.3666745126247406,0.85975,0.41285160183906555,0.8581428571428571
800,0.4346862733364105,0.85925,0.39830172061920166,0.8608571428571429
900,0.3882220983505249,0.85475,0.3928372859954834,0.8651428571428571
1000,0.39511263370513916,0.87125,0.3973848223686218,0.8578571428571429
1100,0.32372692227363586,0.869,0.3865221440792084,0.8685714285714285
1200,0.3833952844142914,0.87275,0.37850475311279297,0.868
1300,0.34636199474334717,0.874,0.37996920943260193,0.8645714285714285
1400,0.32330089807510376,0.88125,0.3635558485984802,0.8737142857142857
1500,0.42152073979377747,0.8785,0.3616459369659424,0.8752857142857143
1600,0.3485187590122223,0.8875,0.3575828969478607,0.8748571428571429
1700,0.36173439025878906,0.88875,0.35694587230682373,0.8744285714285714
1800,0.2574917674064636,0.88325,0.35905471444129944,0.8731428571428571
1900,0.3136666417121887,0.8835,0.35282665491104126,0.8774285714285714
2000,0.43560153245925903,0.88325,0.34777212142944336,0.8795714285714286
2100,0.29369935393333435,0.88125,0.35077908635139465,0.8772857142857143
2200,0.25096216797828674,0.8865,0.3443489074707031,0.8805714285714286
2300,0.3392253518104553,0.882,0.3410035967826843,0.8808571428571429
2400,0.3999713063240051,0.875,0.3428594172000885,0.8801428571428571
2500,0.35711586475372314,0.8795,0.34450796246528625,0.8812857142857143
2600,0.29135775566101074,0.8875,0.34091824293136597,0.8781428571428571
2700,0.37298500537872314,0.8865,0.337986022233963,0.884
2800,0.38363420963287354,0.88375,0.3328354060649872,0.8852857142857142
2900,0.302744060754776,0.88375,0.33239656686782837,0.8831428571428571
3000,0.39025673270225525,0.878,0.33644619584083557,0.8814285714285715
3100,0.30971989035606384,0.8935,0.32632336020469666,0.8865714285714286
3200,0.29465606808662415,0.8785,0.3336172103881836,0.8832857142857143
3300,0.29854491353034973,0.88875,0.32974347472190857,0.884
3400,0.28918787837028503,0.888,0.3238730728626251,0.8867142857142857
