step,train_loss,train_acc,dev_loss,dev_acc
0,2.4182326793670654,0.095,2.3266026973724365,0.09328571428571429
100,0.632978618144989,0.7725,0.6722593307495117,0.7705714285714286
200,0.5395845770835876,0.79375,0.5592998266220093,0.8051428571428572
300,0.6082174181938171,0.8195,0.5069169998168945,0.8224285714285714
400,0.41157230734825134,0.837,0.4772447347640991,0.8328571428571429
500,0.4015510678291321,0.849,0.44985613226890564,0.8438571428571429
600,0.5046231746673584,0.84575,0.43390920758247375,0.85
700,0.4004284143447876,0.849,0.41785672307014465,0.8578571428571429
800,0.44406914710998535,0.861,0.4105546772480011,0.8595714285714285
900,0.3999890089035034,0.8575,0.4004453420639038,0.8658571428571429
1000,0.34032905101776123,0.8565,0.39633268117904663,0.8661428571428571
1100,0.37474146485328674,0.8595,0.3939419388771057,0.863
1200,0.4587612450122833,0.86725,0.38622787594795227,0.8687142857142857
1300,0.3505508005619049,0.85975,0.3837684392929077,0.8701428571428571
1400,0.41761577129364014,0.871,0.37525108456611633,0.8731428571428571
1500,0.3179779648780823,0.86025,0.3723461329936981,0.8731428571428571
1600,0.2980567216873169,0.879,0.37548553943634033,0.8711428571428571
1700,0.3528253138065338,0.877,0.36749067902565,0.874
1800,0.3293362557888031,0.8735,0.36797091364860535,0.8721428571428571
1900,0.36947131156921387,0.8755,0.3668634593486786,0.8754285714285714
2000,0.3215576112270355,0.8745,0.36641383171081543,0.8762857142857143
2100,0.32463252544403076,0.872,0.36351582407951355,0.8704285714285714
2200,0.2837432026863098,0.87425,0.3663864731788635,0.8735714285714286
2300,0.31198275089263916,0.87675,0.3593655824661255,0.878
2400,0.41117236018180847,0.88025,0.35177797079086304,0.8792857142857143
2500,0.37364527583122253,0.8775,0.353855162858963,0.8767142857142857
2600,0.3858546316623688,0.87825,0.35600224137306213,0.8758571428571429
2700,0.2959152162075043,0.8725,0.3503849506378174,0.8787142857142857
2800,0.27415087819099426,0.872,0.36172178387641907,0.8768571428571429
2900,0.3129699230194092,0.8785,0.356913298368454,0.8734285714285714
3000,0.3440554141998291,0.8745,0.3570493757724762,0.8798571428571429
3100,0.3195956349372864,0.8835,0.351581335067749,0.8777142857142857
3200,0.3314114809036255,0.8745,0.3570880889892578,0.8771428571428571
3300,0.37102261185646057,0.87675,0.35143330693244934,0.88
3400,0.4171278476715088,0.887,0.3550299108028412,0.8747142857142857
