step,train_loss,train_acc,dev_loss,dev_acc
0,41.829856872558594,0.09575,50.891746520996094,0.09671428571428571
100,1.0657058954238892,0.618,1.2460041046142578,0.6212857142857143
200,1.0269289016723633,0.70625,0.9435191750526428,0.6991428571428572
300,0.840106189250946,0.736,0.8452667593955994,0.7364285714285714
400,0.8323090076446533,0.75675,0.7854721546173096,0.7451428571428571
500,0.7004942297935486,0.78925,0.7428504228591919,0.7692857142857142
600,0.6695910096168518,0.77875,0.7192642092704773,0.7647142857142857
700,0.5832974910736084,0.78575,0.6884210109710693,0.7732857142857142
800,0.5471752285957336,0.79175,0.6748464107513428,0.7778571428571428
900,0.5190287232398987,0.80525,0.6758090257644653,0.7831428571428571
1000,0.5280231833457947,0.80375,0.688107967376709,0.7711428571428571
1100,0.5488137602806091,0.80925,0.6380095481872559,0.788
1200,0.5853614211082458,0.81175,0.6470864415168762,0.787
1300,0.5915038585662842,0.82775,0.655306875705719,0.7955714285714286
1400,0.5474880933761597,0.8255,0.6269338726997375,0.8018571428571428
1500,0.4855410158634186,0.82,0.6153528094291687,0.8035714285714286
1600,0.5410344004631042,0.831,0.6164185404777527,0.8028571428571428
1700,0.5671883225440979,0.81075,0.6478440165519714,0.786
1800,0.4237573742866516,0.8285,0.6317126750946045,0.796
1900,0.4967706799507141,0.83675,0.5963969826698303,0.8074285714285714
2000,0.4733920395374298,0.833,0.6133684515953064,0.7978571428571428
2100,0.3945612609386444,0.83425,0.607380211353302,0.8045714285714286
2200,0.4334624111652374,0.832,0.607111930847168,0.8092857142857143
2300,0.4673089385032654,0.83625,0.5977560877799988,0.8071428571428572
2400,0.44066062569618225,0.8385,0.5913853049278259,0.8055714285714286
2500,0.41320183873176575,0.843,0.5733141899108887,0.8144285714285714
2600,0.4964025318622589,0.84275,0.5900788903236389,0.8058571428571428
2700,0.480364590883255,0.834,0.6026188135147095,0.8121428571428572
2800,0.43337395787239075,0.84,0.612994909286499,0.8012857142857143
2900,0.4486200511455536,0.82775,0.6176138520240784,0.8007142857142857
3000,0.5170861482620239,0.85325,0.6012381315231323,0.8075714285714286
3100,0.4093998372554779,0.83875,0.6140326261520386,0.814
3200,0.4278128445148468,0.84575,0.6152957677841187,0.8035714285714286
3300,0.47276484966278076,0.84775,0.5907862782478333,0.8081428571428572
3400,0.5128464102745056,0.83675,0.6060779094696045,0.815
