step,train_loss,train_acc,dev_loss,dev_acc
0,2.6746931076049805,0.12,2.547447443008423,0.12942857142857142
100,0.7402220368385315,0.7545,0.7002822160720825,0.7515714285714286
200,0.5662440061569214,0.79425,0.5672479867935181,0.7947142857142857
300,0.48875635862350464,0.80475,0.5165495872497559,0.811
400,0.4516228437423706,0.829,0.470560759305954,0.8294285714285714
500,0.4027024507522583,0.8455,0.4440949559211731,0.8408571428571429
600,0.4506443440914154,0.84225,0.43282821774482727,0.8497142857142858
700,0.35438278317451477,0.8525,0.4155694544315338,0.852
800,0.49259281158447266,0.84425,0.41313132643699646,0.8567142857142858
900,0.48268863558769226,0.84425,0.40942099690437317,0.855
1000,0.4663603603839874,0.85725,0.40406253933906555,0.8575714285714285
1100,0.269856721162796,0.8595,0.38622772693634033,0.8615714285714285
1200,0.3503752052783966,0.86375,0.3873010277748108,0.865
1300,0.4801500737667084,0.8505,0.3880573809146881,0.8604285714285714
1400,0.37857455015182495,0.86225,0.3783150315284729,0.8675714285714285
1500,0.3276779055595398,0.86625,0.3844256103038788,0.865
1600,0.2874285578727722,0.86975,0.3724589943885803,0.8688571428571429
1700,0.47246280312538147,0.87775,0.3652992248535156,0.8732857142857143
1800,0.4127131402492523,0.86825,0.36715662479400635,0.872
1900,0.26898276805877686,0.86675,0.37173953652381897,0.8685714285714285
2000,0.3412059545516968,0.86575,0.3721896708011627,0.8688571428571429
2100,0.33010226488113403,0.877,0.3723326325416565,0.8687142857142857
2200,0.24382275342941284,0.86125,0.37790873646736145,0.865
2300,0.37366920709609985,0.86875,0.3580038249492645,0.8704285714285714
2400,0.35015755891799927,0.8665,0.36649420857429504,0.868
2500,0.27306532859802246,0.86825,0.368399441242218,0.8678571428571429
2600,0.3174697160720825,0.88925,0.35377347469329834,0.876
2700,0.2942492663860321,0.8775,0.3602801263332367,0.8744285714285714
2800,0.26964321732521057,0.8785,0.35909169912338257,0.871
2900,0.30678802728652954,0.87425,0.3545238673686981,0.8724285714285714
3000,0.2429630160331726,0.88,0.3554113507270813,0.8747142857142857
3100,0.34793224930763245,0.8735,0.3580054044723511,0.8704285714285714
3200,0.26512980461120605,0.8785,0.34209921956062317,0.8755714285714286
3300,0.34032464027404785,0.87425,0.34828242659568787,0.8797142857142857
3400,0.30483782291412354,0.87225,0.3521880805492401,0.8748571428571429
