step,train_loss,train_acc,dev_loss,dev_acc
0,34.08695983886719,0.15075,56.25270462036133,0.15642857142857142
100,1.3698875904083252,0.645,1.3092137575149536,0.6441428571428571
200,0.8240572214126587,0.7425,0.855012059211731,0.722
300,0.8015078902244568,0.758,0.7801783084869385,0.754
400,0.7985231280326843,0.75775,0.7485048174858093,0.7528571428571429
500,0.6926932334899902,0.7895,0.7013964056968689,0.7747142857142857
600,0.6484402418136597,0.783,0.7425224184989929,0.7671428571428571
700,0.6084980964660645,0.80425,0.6587461233139038,0.7762857142857142
800,0.6552942395210266,0.79375,0.65043044090271,0.7821428571428571
900,0.6526539921760559,0.806,0.6555328369140625,0.7874285714285715
1000,0.5190287828445435,0.8165,0.6336144804954529,0.7964285714285714
1100,0.6019505858421326,0.80375,0.6520388126373291,0.7837142857142857
1200,0.4250655472278595,0.81075,0.6439576745033264,0.7905714285714286
1300,0.4974391460418701,0.82925,0.6210858821868896,0.7967142857142857
1400,0.5930341482162476,0.834,0.640467643737793,0.8
1500,0.48168936371803284,0.823,0.6111557483673096,0.8072857142857143
1600,0.5547055006027222,0.8235,0.6141448020935059,0.8005714285714286
1700,0.5157166719436646,0.828,0.6148655414581299,0.7991428571428572
1800,0.47339966893196106,0.822,0.6256280541419983,0.7982857142857143
1900,0.4859026372432709,0.821,0.6023272275924683,0.803
2000,0.3969595730304718,0.8475,0.6064320802688599,0.8107142857142857
2100,0.37154850363731384,0.841,0.5742400884628296,0.8114285714285714
2200,0.5438433885574341,0.84125,0.620963990688324,0.7944285714285715
2300,0.5256209373474121,0.8295,0.6212902069091797,0.8007142857142857
2400,0.3295690715312958,0.84325,0.6114634275436401,0.8018571428571428
2500,0.4807591438293457,0.834,0.5939568281173706,0.8094285714285714
2600,0.4531548321247101,0.842,0.5910527110099792,0.8084285714285714
2700,0.3745361864566803,0.84325,0.6135905385017395,0.8075714285714286
2800,0.4447084367275238,0.84375,0.6032727956771851,0.8062857142857143
2900,0.39411991834640503,0.85,0.6017993688583374,0.8077142857142857
3000,0.34449732303619385,0.84625,0.5944629311561584,0.8151428571428572
3100,0.4870273768901825,0.85175,0.6258974075317383,0.81
3200,0.4870060980319977,0.83625,0.6010270118713379,0.8101428571428572
3300,0.4342765510082245,0.8495,0.6015517711639404,0.8041428571428572
3400,0.4200524389743805,0.8525,0.5952271223068237,0.8128571428571428
